title,description,type,purpose,status,location,city,area,price,isNegotiable,areaSize,areaUnit,bedrooms,bathrooms,floors,furnishing,features,images,isFeatured,isPublished
Luxury 5 marla House DHA Phase 6 Lahore,Modern house with premium finishing,house,sale,rented,"House 45 Street 12 DHA Phase 6",Lahore,DHA Phase 6,28500000,true,5,marla,4,5,2,semi-furnished,"Gas|Electricity|Garage|TV Lounge","https://images.unsplash.com/photo-1568605114967-8130f3a36994|https://images.unsplash.com/photo-1572120360610-d971b9d7767c",true,true
10 marla House Bahria Town Islamabad,Spacious modern house,house,sale,rented,"House 22 Bahria Phase 7",Islamabad,Bahria Town Phase 7,55000000,false,10,marla,5,6,2,unfurnished,"Park|Security|Water Supply","https://images.unsplash.com/photo-1600585154340-be6161a56a0c|https://images.unsplash.com/photo-1600607687939-ce8a6c25118c",true,true
1 Kanal Luxury Villa DHA Karachi,Premium villa with pool,house,sale,rented,"Street 5 DHA Phase 8",Karachi,DHA Phase 8,125000000,true,1,kanal,6,7,3,furnished,"Pool|Basement|Servant Quarter","https://images.unsplash.com/photo-1613490493576-7fde63acd811|https://images.unsplash.com/photo-1600607687644-c7171b42498f",true,true
5 marla Plot Park View City,Prime plot location,plot,sale,rented,"Block A Park View City",Islamabad,Park View City,9500000,true,5,marla,,,,,"Corner|Near Park","https://images.unsplash.com/photo-1500382017468-9049fed747ef",false,true
Commercial Shop Gulberg Lahore,Best for brands,commercial,rent,rented,"Main Boulevard Gulberg",Lahore,Gulberg,250000,false,800,sqft,,,,,"Parking|High Footfall","https://images.unsplash.com/photo-1555636222-cae831e670b3",true,true
3 Bed Apartment Clifton Karachi,Sea facing apartment,apartment,rent,rented,"Clifton Block 2",Karachi,Clifton,180000,true,1800,sqft,3,3,,furnished,"Lift|Security|Sea View","https://images.unsplash.com/photo-1507089947368-19c1da9775ae|https://images.unsplash.com/photo-1493809842364-78817add7ffb",false,true
8 marla House Johar Town Lahore,Affordable family house,house,sale,rented,"Block G Johar Town",Lahore,Johar Town,32000000,true,8,marla,4,4,2,semi-furnished,"Garage|Gas|Electricity","https://images.unsplash.com/photo-1576941089067-2de3c901e126",false,true
2 Kanal Farmhouse Islamabad,Peaceful farmhouse,house,sale,rented,"Simly Dam Road",Islamabad,Simly Dam,90000000,true,2,kanal,5,5,1,unfurnished,"Garden|Parking|Security","https://images.unsplash.com/photo-1505691938895-1758d7feb511",true,true
Studio Apartment DHA Phase 2 Islamabad,Ideal for bachelors,apartment,rent,rented,"DHA Phase 2",Islamabad,DHA Phase 2,45000,false,500,sqft,1,1,,furnished,"Security|Lift","https://images.unsplash.com/photo-1494526585095-c41746248156",false,true
1 Kanal Plot DHA Phase 5 Lahore,Hot investment,plot,sale,rented,"DHA Phase 5",Lahore,DHA Phase 5,65000000,true,1,kanal,,,,,"Developed|Wide Road","https://images.unsplash.com/photo-1441974231531-c6227db76b6e",true,true
5 marla House Wapda Town Lahore,Good location,house,sale,rented,"Block C Wapda Town",Lahore,Wapda Town,24000000,true,5,marla,3,3,2,semi-furnished,"Garage|Water","https://images.unsplash.com/photo-1560184897-ae75f418493e",false,true
10 marla House Askari 11 Lahore,Secure living,house,sale,rented,"Askari 11",Lahore,Askari 11,48000000,false,10,marla,5,5,2,unfurnished,"Security|Park","https://images.unsplash.com/photo-1600573472591-ee6b68d14c68",true,true
2 Bed Apartment Bahria Town Lahore,Modern apartment,apartment,rent,rented,"Bahria Town",Lahore,Bahria Town,60000,true,900,sqft,2,2,,furnished,"Lift|Security","https://images.unsplash.com/photo-1499951360447-b19be8fe80f5",false,true
Commercial Plaza Islamabad,Main road building,commercial,sale,rented,"Blue Area",Islamabad,Blue Area,300000000,true,5000,sqft,,,,,"Parking|Elevator","https://images.unsplash.com/photo-1486406146926-c627a92ad1ab",true,true
7 marla House Rawalpindi,Family house,house,sale,rented,"Satellite Town",Rawalpindi,Satellite Town,22000000,true,7,marla,4,4,2,semi-furnished,"Garage|Gas","https://images.unsplash.com/photo-1564013799919-ab600027ffc6",false,true
1 Bed Apartment Gulshan Karachi,Affordable flat,apartment,rent,rented,"Gulshan Block 5",Karachi,Gulshan,30000,true,600,sqft,1,1,,unfurnished,"Water|Security","https://images.unsplash.com/photo-1505691723518-36a5ac3be353",false,true
4 marla House Faisalabad,Compact house,house,sale,rented,"Madina Town",Faisalabad,Madina Town,15000000,true,4,marla,3,3,2,semi-furnished,"Garage","https://images.unsplash.com/photo-1572120360610-d971b9d7767c",false,true
Agricultural Land Multan,Fertile land,plot,sale,rented,"Multan Bypass",Multan,Multan,50000000,true,10,kanal,,,,,"Water|Road Access","https://images.unsplash.com/photo-1500382017468-9049fed747ef",false,true
Office Space Lahore,Corporate office,commercial,rent,rented,"MM Alam Road",Lahore,Gulberg,200000,false,1200,sqft,,,,,"Elevator|Parking","https://images.unsplash.com/photo-1497366216548-37526070297c",true,true
Penthouse Karachi,Top floor luxury,apartment,sale,rented,"DHA Phase 6",Karachi,DHA Phase 6,85000000,true,2500,sqft,4,4,,furnished,"Sea View|Lift|Security","https://images.unsplash.com/photo-1502672260266-1c1ef2d93688",true,true
